"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/28/2019","AQS","090010017","1","0.046","ppm","43","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"03/29/2019","AQS","090010017","1","0.023","ppm","21","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"03/30/2019","AQS","090010017","1","0.053","ppm","49","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"03/31/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/01/2019","AQS","090010017","1","0.046","ppm","43","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/02/2019","AQS","090010017","1","0.049","ppm","45","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/03/2019","AQS","090010017","1","0.055","ppm","51","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/04/2019","AQS","090010017","1","0.051","ppm","47","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/05/2019","AQS","090010017","1","0.04","ppm","37","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/06/2019","AQS","090010017","1","0.05","ppm","46","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/07/2019","AQS","090010017","1","0.053","ppm","49","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/08/2019","AQS","090010017","1","0.036","ppm","33","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/09/2019","AQS","090010017","1","0.034","ppm","31","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/10/2019","AQS","090010017","1","0.041","ppm","38","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/11/2019","AQS","090010017","1","0.039","ppm","36","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/12/2019","AQS","090010017","1","0.047","ppm","44","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/13/2019","AQS","090010017","1","0.045","ppm","42","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/14/2019","AQS","090010017","1","0.035","ppm","32","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/15/2019","AQS","090010017","1","0.045","ppm","42","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/16/2019","AQS","090010017","1","0.052","ppm","48","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/17/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/18/2019","AQS","090010017","1","0.045","ppm","42","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/20/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","14","82.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/21/2019","AQS","090010017","1","0.044","ppm","41","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/22/2019","AQS","090010017","1","0.037","ppm","34","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/23/2019","AQS","090010017","1","0.048","ppm","44","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/24/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/25/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","16","94.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/26/2019","AQS","090010017","1","0.044","ppm","41","Greenwich Point Park","16","94.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/27/2019","AQS","090010017","1","0.045","ppm","42","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/28/2019","AQS","090010017","1","0.037","ppm","34","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/30/2019","AQS","090010017","1","0.048","ppm","44","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/01/2019","AQS","090010017","1","0.04","ppm","37","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/02/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/03/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/04/2019","AQS","090010017","1","0.036","ppm","33","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/05/2019","AQS","090010017","1","0.037","ppm","34","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/06/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/07/2019","AQS","090010017","1","0.05","ppm","46","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/08/2019","AQS","090010017","1","0.044","ppm","41","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/09/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/10/2019","AQS","090010017","1","0.038","ppm","35","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/11/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/12/2019","AQS","090010017","1","0.038","ppm","35","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/13/2019","AQS","090010017","1","0.038","ppm","35","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/14/2019","AQS","090010017","1","0.025","ppm","23","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/15/2019","AQS","090010017","1","0.04","ppm","37","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/16/2019","AQS","090010017","1","0.052","ppm","48","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/17/2019","AQS","090010017","1","0.046","ppm","43","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/18/2019","AQS","090010017","1","0.05","ppm","46","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/19/2019","AQS","090010017","1","0.05","ppm","46","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/20/2019","AQS","090010017","1","0.057","ppm","58","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/21/2019","AQS","090010017","1","0.039","ppm","36","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/22/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/23/2019","AQS","090010017","1","0.041","ppm","38","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/24/2019","AQS","090010017","1","0.043","ppm","40","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/25/2019","AQS","090010017","1","0.041","ppm","38","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/26/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/27/2019","AQS","090010017","1","0.042","ppm","39","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"05/28/2019","AQS","090010017","1","0.038","ppm","35","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
