"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2014","AQS","090031003","1","0.05","ppm","46","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/02/2014","AQS","090031003","1","0.038","ppm","35","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/03/2014","AQS","090031003","1","0.049","ppm","45","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/04/2014","AQS","090031003","1","0.043","ppm","40","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/05/2014","AQS","090031003","1","0.041","ppm","38","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/06/2014","AQS","090031003","1","0.051","ppm","47","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/07/2014","AQS","090031003","1","0.05","ppm","46","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/08/2014","AQS","090031003","1","0.044","ppm","41","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/09/2014","AQS","090031003","1","0.051","ppm","47","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/10/2014","AQS","090031003","1","0.051","ppm","47","McAuliffe Park","14","82.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/11/2014","AQS","090031003","1","0.04","ppm","37","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/12/2014","AQS","090031003","1","0.055","ppm","51","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/13/2014","AQS","090031003","1","0.06","ppm","67","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
