"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/13/2014","AQS","090030025","1","3.5","ug/m3 LC","15","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"06/16/2014","AQS","090030025","1","6.7","ug/m3 LC","28","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"06/19/2014","AQS","090030025","1","5.5","ug/m3 LC","23","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"06/22/2014","AQS","090030025","1","6","ug/m3 LC","25","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"06/25/2014","AQS","090030025","1","10.2","ug/m3 LC","43","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"06/28/2014","AQS","090030025","1","8.2","ug/m3 LC","34","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/01/2014","AQS","090030025","1","2.7","ug/m3 LC","11","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/04/2014","AQS","090030025","1","6.6","ug/m3 LC","28","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/07/2014","AQS","090030025","1","14.5","ug/m3 LC","56","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/10/2014","AQS","090030025","1","4.7","ug/m3 LC","20","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/16/2014","AQS","090030025","1","8.5","ug/m3 LC","35","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/19/2014","AQS","090030025","1","7.1","ug/m3 LC","30","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/25/2014","AQS","090030025","1","9.8","ug/m3 LC","41","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/28/2014","AQS","090030025","1","7.4","ug/m3 LC","31","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"07/31/2014","AQS","090030025","1","9.7","ug/m3 LC","40","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
